

        TIME                    RATE            ERROR
        s                       count/s         count/s
     35   2.040000000000000E+03   1.7368701E-01   7.7675194E-02
     36   2.100000000000000E+03   4.1725636E-01   1.2045153E-01
     37   2.160000000000000E+03   4.1650096E-01   1.2023347E-01
     38   2.220000000000000E+03   2.4331848E-01   9.1965742E-02
     39   2.280000000000000E+03   3.1290510E-01   1.0430170E-01
     40   2.340000000000000E+03   2.0913008E-01   8.5377000E-02
     41   2.400000000000000E+03   3.1391913E-01   1.0463970E-01
     42   2.460000000000000E+03   2.1002398E-01   8.5741937E-02
     43   2.520000000000000E+03   3.1387061E-01   1.0462353E-01
     44   2.580000000000000E+03   1.7567341E-01   7.8563541E-02
     45   2.640000000000000E+03   3.8879710E-01   1.1722674E-01
     46   2.700000000000000E+03   2.1205094E-01   8.6569436E-02
     47   2.760000000000000E+03   2.4798878E-01   9.3730949E-02
     48   2.820000000000000E+03   4.2270949E-01   1.2202572E-01
     49   2.880000000000000E+03   2.8044719E-01   9.9153057E-02
     50   2.940000000000000E+03   6.6261786E-01   1.5201497E-01
     51   3.000000000000000E+03   2.7759609E-01   9.8145030E-02
     52   3.060000000000000E+03   2.4282227E-01   9.1778196E-02
     53   3.120000000000000E+03   2.7875391E-01   9.8554388E-02
     54   3.180000000000000E+03   1.7353106E-01   7.7605449E-02
     55   3.240000000000000E+03   2.8185639E-01   9.9651285E-02
     56   3.300000000000000E+03   2.7711678E-01   1.9595116E-01
     57   5.760000000000000E+03   0.0000000E+00   0.0000000E+00
     58   5.820000000000000E+03   0.0000000E+00   0.0000000E+00
     59   5.880000000000000E+03   2.5839642E-01   1.0548990E-01
     60   5.940000000000000E+03   3.1261674E-01   1.0420558E-01
     61   6.000000000000000E+03   2.4194548E-01   9.1446795E-02
     62   6.060000000000000E+03   2.0821477E-01   8.5003331E-02
     63   6.120000000000000E+03   4.4923931E-01   1.2459657E-01
     64   6.180000000000000E+03   3.7993431E-01   1.1455451E-01
     65   6.240000000000000E+03   2.0774655E-01   8.4812179E-02
     66   6.300000000000000E+03   2.4247260E-01   9.1646031E-02
     67   6.360000000000000E+03   2.0738797E-01   8.4665783E-02
     68   6.420000000000000E+03   4.4991404E-01   1.2478369E-01
     69   6.480000000000000E+03   1.7289589E-01   7.7321395E-02
     70   6.540000000000000E+03   2.4226992E-01   9.1569424E-02
     71   6.600000000000000E+03   4.5094559E-01   1.2506980E-01
     72   6.660000000000000E+03   3.8031611E-01   1.1466963E-01
     73   6.720000000000000E+03   3.1158194E-01   1.0386065E-01
     74   6.780000000000000E+03   2.4249145E-01   9.1653153E-02
     75   6.840000000000000E+03   3.4657997E-01   1.0959820E-01
     76   6.900000000000000E+03   4.1445935E-01   1.1964411E-01
     77   6.960000000000000E+03   2.7626207E-01   9.7673394E-02
     78   7.020000000000000E+03   3.4588420E-01   1.0937819E-01
     79   7.080000000000000E+03   2.7653858E-01   9.7771153E-02
     80   7.140000000000000E+03   5.1796192E-01   1.3373719E-01
     81   7.200000000000000E+03   2.7689502E-01   9.7897165E-02
     82   7.260000000000000E+03   1.7285283E-01   7.7302136E-02
     83   7.320000000000000E+03   2.4181850E-01   9.1398805E-02
     84   7.380000000000000E+03   3.7992212E-01   1.1455083E-01
     85   7.440000000000000E+03   4.1507515E-01   1.1982188E-01
     86   7.500000000000000E+03   2.7638522E-01   9.7716928E-02
     87   7.560000000000000E+03   6.5665013E-01   1.5064588E-01
     88   7.620000000000000E+03   4.4842017E-01   1.2436938E-01
     89   7.680000000000000E+03   1.3837430E-01   6.9187149E-02
     90   7.740000000000000E+03   2.4156976E-01   9.1304787E-02
     91   7.800000000000000E+03   2.4327892E-01   9.1950789E-02
     92   7.860000000000000E+03   1.3868362E-01   6.9341809E-02
     93   7.920000000000000E+03   1.7284523E-01   7.7298738E-02
     94   7.980000000000000E+03   2.7740175E-01   9.8076321E-02
     95   8.040000000000000E+03   3.1248766E-01   1.0416256E-01
     96   8.100000000000000E+03   3.4622398E-01   1.0948563E-01
     97   8.160000000000000E+03   2.7690172E-01   9.7899541E-02
     98   8.220000000000000E+03   2.7731466E-01   9.8045535E-02
     99   8.280000000000000E+03   1.7291005E-01   7.7327721E-02
    100   8.340000000000000E+03   1.3870983E-01   6.9354914E-02
    101   8.400000000000000E+03   3.8210461E-01   1.1520887E-01
    102   8.460000000000000E+03   3.1335562E-01   1.0445187E-01
    103   8.520000000000000E+03   3.1116688E-01   1.0372229E-01
    104   8.580000000000000E+03   2.7739224E-01   9.8072961E-02
